RIC,Sector,Name,SMA50-SMA200,SMA20-SMA50,Volume-VWAP,Close-VWAP,Last,HighNav,Fibo618,Fibo50,Fibo382,LowNav,PctfromPriceLowfromDate,Pctfrom52WkLow,52WkLow,1W%,1M%,Correlation Data,Rev Growth,% ROE,Volume5D30D,ImpVol30D,TargetPx,20SMA,200SMA
AMZN.OQ,Consumer Discretionary,Amazon.com Inc,25.43,5.82,15703319.00,234.40,235.01,235.01,204.52,195.11,185.69,155.20,187.23,55.01,15161.00,5.22,4.49,0.86,11.83,22.56,11.64,26.93,246.72,223.88,192.64
ANSS.OQ,Information Technology,ANSYS Inc,15.74,-1.89,131086.00,356.17,356.63,361.45,336.65,329.00,321.34,296.54,78.02,22.98,28999.00,3.95,5.39,0.78,9.90,10.48,10.28,15.86,353.60,341.45,327.60
APP.OQ,Information Technology,Applovin Corp,173.97,8.01,1249739.00,361.03,361.72,401.50,263.77,221.23,178.69,40.96,3789.46,788.53,4071.00,7.97,6.08,0.86,16.54,113.06,-23.24,77.34,363.10,337.00,155.02
ARM.OQ,Information Technology,Arm Holdings PLC,2.59,0.74,6866963.00,176.38,179.93,186.46,142.17,128.49,114.81,70.52,275.87,159.45,6935.00,22.07,36.16,0.15,20.68,11.89,68.37,66.64,148.85,140.11,136.77
ASML.OQ,Information Technology,ASML Holding NV,-139.74,23.02,490145.00,773.45,766.71,1098.95,930.67,878.69,826.71,658.43,102.23,18.79,64545.00,5.56,8.65,-0.64,33.81,48.89,21.44,29.50,922.02,730.76,847.48
AVGO.OQ,Information Technology,Broadcom Inc,34.78,31.06,9394022.00,242.49,240.91,250.00,199.58,184.00,168.42,118.00,464.06,105.14,11743.50,5.66,9.11,0.56,43.99,13.46,-31.28,81.61,241.09,232.83,166.99
AXON.OQ,Industrials,Axon Enterprise Inc,204.11,-18.32,149594.00,607.57,607.60,689.78,521.42,469.42,417.42,249.06,620.16,145.68,24731.00,4.76,-3.81,0.85,31.38,16.42,-53.52,33.66,616.21,595.98,410.19
AZN.OQ,Health Care,AstraZeneca PLC,-8.81,0.29,2353447.00,68.13,68.20,87.62,77.46,74.33,71.19,61.03,28.63,12.76,6048.00,3.84,4.36,-0.86,3.29,16.67,19.53,19.36,86.71,66.39,74.91
BIIB.OQ,Health Care,Biogen Inc,-40.12,-6.77,362775.00,142.44,142.75,247.83,206.85,194.19,181.53,140.55,1.57,2.00,13995.00,1.24,-2.54,-0.88,-3.32,10.47,-26.13,23.68,228.22,147.86,194.75
BKNG.OQ,Consumer Discretionary,Booking Holdings Inc,859.12,-134.86,120946.00,4634.65,4619.21,5300.34,4538.36,4302.98,4067.60,3305.62,182.59,44.89,318800.00,-4.36,-8.50,0.88,25.01,NULL,16.92,26.04,5321.86,4897.21,4172.95
BKR.OQ,Energy,Baker Hughes Co,6.24,0.23,2282567.00,46.05,45.81,47.04,39.96,37.77,35.58,28.50,124.01,61.76,2832.00,0.20,13.62,0.78,20.56,14.25,2.24,24.08,47.46,43.17,36.70
CCEP.OQ,Consumer Staples,Coca-Cola Europacific Partners PLC,1.42,-0.92,455722.00,77.25,77.06,81.88,75.88,74.03,72.17,66.17,80.81,17.17,6577.00,1.81,2.51,-0.61,5.67,19.80,13.06,17.01,84.47,75.98,75.48
CDNS.OQ,Information Technology,Cadence Design Systems Inc,16.55,-1.42,650157.00,321.11,321.49,326.50,296.07,286.67,277.27,246.84,138.23,33.16,24143.00,6.91,6.64,0.81,14.83,27.07,6.16,24.95,324.55,303.40,288.27
CDW.OQ,Information Technology,CDW Corp,-32.38,-0.08,344467.00,194.11,194.30,257.87,224.32,213.95,203.58,170.03,27.33,15.31,16850.00,3.65,11.33,-0.83,-9.99,53.36,-2.56,21.93,222.02,180.66,213.12
CEG.OQ,Utilities,Constellation Energy Corp,28.17,14.87,1364859.00,331.79,332.47,332.47,251.69,226.74,201.79,121.01,691.60,188.23,11535.00,10.54,46.45,0.41,1.96,23.60,7.89,83.01,306.61,265.54,222.50
CHTR.OQ,Communication Services,Charter Communications Inc,45.09,-23.34,373187.00,351.88,352.80,408.02,349.42,331.32,313.21,254.61,38.56,48.78,23713.00,1.38,0.37,0.55,1.08,37.11,-0.06,38.42,398.46,348.11,326.36
CMCSA.OQ,Communication Services,Comcast Corp,0.29,-2.83,8657900.00,37.05,37.11,46.73,42.75,41.52,40.29,36.31,29.39,2.64,3615.50,1.67,-2.90,-0.08,0.12,17.43,4.81,32.97,47.77,37.26,39.81
COST.OQ,Consumer Staples,Costco Wholesale Corp,82.98,-16.86,502743.00,944.57,944.70,994.69,879.83,844.35,808.87,694.01,132.02,39.76,67596.00,2.30,-0.98,0.71,5.02,29.95,-2.19,15.25,1039.68,932.64,866.52
CPRT.OQ,Industrials,Copart Inc,4.31,-1.68,983507.00,57.67,57.66,63.80,57.78,55.92,54.06,48.04,124.40,20.78,4774.00,2.23,-0.96,0.76,9.49,19.47,0.33,16.38,61.64,57.19,54.57
CRWD.OQ,Information Technology,CrowdStrike Holdings Inc,36.67,2.20,1451875.00,376.43,377.98,392.15,325.58,305.02,284.46,217.89,299.05,88.05,20100.00,4.41,4.33,0.85,36.33,4.98,2.32,43.69,385.28,357.88,319.01
CSCO.OQ,Information Technology,Cisco Systems Inc,7.25,0.55,6255963.00,61.52,61.63,61.63,55.18,53.19,51.19,44.74,56.94,38.03,4465.00,2.75,5.31,0.87,-5.61,20.76,-2.12,12.45,62.74,59.49,51.69
CSGP.OQ,Real Estate,CoStar Group Inc,-3.18,-2.79,871764.00,74.12,74.01,97.73,86.87,83.51,80.15,69.29,38.93,8.42,6826.00,1.08,3.60,-0.26,12.49,2.39,-3.63,29.40,90.16,71.96,77.93
CSX.OQ,Industrials,CSX Corp,0.00,-1.54,4351063.00,33.25,33.24,38.38,35.78,34.98,34.18,31.58,25.39,5.73,3144.00,2.40,4.36,-0.11,-1.32,29.47,39.46,16.32,38.12,32.37,33.91
CTAS.OQ,Industrials,Cintas Corp,14.42,-16.55,535044.00,199.48,199.02,226.47,197.45,188.49,179.52,150.50,129.19,33.71,14885.00,1.70,6.46,0.04,8.86,41.18,-34.20,42.15,201.65,189.81,191.94
CTSH.OQ,Information Technology,Cognizant Technology Solutions Corp,5.25,-1.53,1323868.00,78.96,79.05,82.32,75.42,73.29,71.16,64.26,52.14,23.90,6380.00,1.63,-0.23,0.49,-0.39,16.48,10.64,18.11,84.24,77.52,73.80
DASH.OQ,Consumer Discretionary,DoorDash Inc,35.92,-1.99,802158.00,178.30,177.68,180.48,149.84,140.38,130.92,100.28,312.63,78.90,9932.00,3.79,3.91,0.88,31.17,-2.43,-1.78,30.26,185.65,171.72,137.80
DDOG.OQ,Information Technology,Datadog Inc,18.84,-2.19,962637.00,139.69,140.12,168.65,144.32,136.81,129.30,104.97,123.51,41.82,9880.00,-0.59,-6.25,0.85,27.06,8.66,-9.40,30.62,161.43,142.80,126.15
DXCM.OQ,Health Care,Dexcom Inc,-14.26,2.66,1159578.00,87.17,87.09,140.45,111.25,102.23,93.20,64.00,36.08,39.70,6234.00,8.32,8.81,0.73,24.49,32.06,29.22,33.59,97.56,80.75,92.35
EA.OQ,Communication Services,Electronic Arts Inc,11.57,-10.58,911493.00,142.62,142.35,167.97,151.65,146.61,141.56,125.24,30.37,13.91,12497.00,0.15,-3.69,0.46,1.83,13.96,42.45,16.00,161.45,144.82,143.82
EXC.OQ,Utilities,Exelon Corp,0.25,-0.04,3009378.00,39.37,39.22,40.97,38.16,37.30,36.43,33.62,16.66,17.60,3335.00,3.16,5.94,-0.48,13.89,9.33,-5.75,20.68,42.77,38.02,37.82
FANG.OQ,Energy,Diamondback Energy Inc,-16.31,-2.36,584227.00,177.64,177.59,210.94,187.52,180.28,173.04,149.62,69.35,20.05,14793.00,-1.10,14.62,-0.58,-12.77,11.92,-30.98,24.54,213.80,169.21,187.89
FAST.OQ,Industrials,Fastenal Co,7.07,-4.67,1910296.00,75.76,75.60,84.35,75.85,73.22,70.59,62.09,73.41,23.21,6136.00,1.79,1.04,0.62,2.71,33.04,49.82,18.63,74.40,73.54,71.13
FTNT.OQ,Information Technology,Fortinet Inc,20.73,0.26,1524074.00,97.91,98.24,99.21,82.47,77.30,72.13,55.39,113.89,80.03,5457.00,5.57,1.08,0.81,20.09,311.53,0.38,24.46,98.25,95.71,74.72
GEHC.OQ,Health Care,GE Healthcare Technologies Inc,-1.03,-0.11,942718.00,87.42,87.33,93.87,86.04,83.62,81.19,73.36,55.95,22.47,7131.00,4.39,10.67,-0.57,6.60,21.69,-9.20,22.58,96.95,82.31,83.44
GFS.OQ,Information Technology,GlobalFoundries Inc,-2.62,-0.44,536561.00,42.53,42.36,58.39,49.84,47.20,44.56,36.01,17.63,18.13,3586.00,1.24,1.53,0.31,-8.83,6.65,-2.39,32.62,48.99,42.68,45.75
GILD.OQ,Health Care,Gilead Sciences Inc,13.25,-0.01,2060466.00,92.93,93.04,97.90,84.63,80.53,76.42,63.15,61.19,49.90,6207.00,0.71,0.51,0.85,-0.60,0.62,0.25,16.94,99.83,91.99,78.76
GOOG.OQ,Communication Services,Alphabet Inc,12.25,8.92,5868556.00,200.49,200.03,200.03,174.26,166.30,158.33,132.56,139.59,52.04,13156.00,1.55,3.66,0.75,8.68,32.51,-15.25,31.02,212.50,194.99,173.81
GOOGL.OQ,Communication Services,Alphabet Inc,12.27,9.04,9066571.00,198.71,198.37,198.37,172.79,164.89,156.98,131.40,137.77,51.82,13066.50,1.44,3.64,0.75,8.68,32.51,-9.25,31.62,212.42,193.61,172.29
HON.OQ,Industrials,Honeywell International Inc,15.99,-2.60,1063600.00,223.22,223.09,236.00,218.57,213.18,207.79,190.36,33.61,17.58,18973.00,1.62,-2.29,0.76,3.37,32.81,-0.30,18.66,245.41,224.08,210.68
IDXX.OQ,Health Care,IDEXX Laboratories Inc,-46.54,-4.52,171004.00,431.00,430.59,576.87,511.95,491.90,471.84,406.92,32.64,7.68,39989.00,1.81,4.45,-0.76,8.72,59.42,12.19,25.90,489.78,419.92,470.98
INTC.OQ,Information Technology,Intel Corp,-4.20,-1.63,16124569.00,21.88,21.86,46.15,35.74,32.52,29.30,18.89,15.72,18.07,1851.50,10.85,11.99,0.00,-14.00,-15.85,36.01,42.04,24.63,20.17,26.00
INTU.OQ,Information Technology,Intuit Inc,15.20,-21.72,491497.00,611.86,611.68,706.25,651.52,634.61,617.70,562.97,73.13,9.67,55776.00,-1.57,-4.93,0.22,13.34,16.62,42.89,24.48,727.56,625.23,631.74
ISRG.OQ,Health Care,Intuitive Surgical Inc,73.55,5.98,609868.00,610.66,610.45,610.45,517.20,488.40,459.59,366.34,233.47,68.51,36227.00,5.23,16.40,0.75,14.49,15.95,44.85,29.25,585.79,549.32,469.79
KDP.OQ,Consumer Staples,Keurig Dr Pepper Inc,-1.64,-0.73,3211399.00,31.55,31.50,38.01,34.52,33.45,32.37,28.88,12.89,10.05,2862.00,1.70,-2.70,-0.77,5.39,9.05,-14.36,17.47,37.43,31.56,33.94
KHC.OQ,Consumer Staples,Kraft Heinz Co,-3.06,-1.01,2808942.00,29.11,29.07,38.65,34.78,33.58,32.38,28.51,1.96,2.43,2838.00,1.18,-4.75,-0.79,0.59,2.81,-20.79,21.58,36.09,29.82,33.89
KLAC.OQ,Information Technology,KLA Corp,-70.83,22.69,384419.00,774.45,771.91,892.35,778.40,743.20,707.99,594.04,193.26,32.60,58213.00,7.77,22.65,-0.63,-6.51,90.58,14.92,27.48,789.57,683.99,732.14
LIN.OQ,Materials,Linde PLC,-10.17,-14.84,832080.00,444.03,442.60,486.45,453.67,443.54,433.41,400.63,67.49,11.68,39632.00,3.42,4.31,-0.67,-1.53,16.35,-12.12,15.48,499.15,423.80,448.82
LRCX.OQ,Information Technology,Lam Research Corp,-10.11,0.52,5355984.00,83.59,83.25,112.73,96.43,91.39,86.35,70.05,164.33,20.88,6887.00,9.32,15.96,-0.27,-14.48,49.12,5.77,36.71,90.24,75.79,85.39
LULU.OQ,Consumer Discretionary,Lululemon Athletica Inc,48.39,23.40,458001.00,380.50,382.82,481.99,387.03,357.70,328.36,233.40,64.02,69.25,22619.00,1.64,0.90,0.83,18.60,46.21,-8.81,51.05,394.88,383.99,312.20
MAR.OQ,Consumer Discretionary,Marriott International Inc,31.52,-4.58,462481.00,280.01,280.41,292.59,261.56,251.97,242.38,211.35,110.74,36.99,20469.00,1.58,-1.25,0.87,17.63,NULL,27.02,19.09,276.61,277.80,250.86
MCHP.OQ,Information Technology,Microchip Technology Inc,-17.61,-4.29,2377426.00,58.58,58.48,99.49,82.57,77.34,72.11,55.19,5.96,7.36,5447.00,2.60,5.35,-0.78,-9.53,11.80,-3.50,29.14,79.28,57.30,79.19
MDB.OQ,Information Technology,MongoDB Inc,-2.87,-33.88,392794.00,261.46,260.70,500.90,392.90,359.54,326.18,218.18,89.81,22.54,21274.00,7.32,6.14,0.07,31.07,-16.23,-40.28,65.19,366.46,245.45,282.19
MDLZ.OQ,Consumer Staples,Mondelez International Inc,-6.00,-3.24,3639652.00,56.49,56.31,76.87,68.96,66.52,64.08,56.17,2.70,0.61,5597.00,-0.58,-5.19,-0.80,14.35,13.53,5.89,21.11,73.96,58.41,67.64
MELI.OQ,Consumer Discretionary,MercadoLibre Inc,45.80,-85.10,109661.00,1830.15,1818.49,2140.10,1840.74,1748.27,1655.79,1356.43,196.80,37.24,132501.00,-1.07,5.70,-0.59,37.35,42.62,-20.94,36.56,2269.51,1769.97,1809.28
META.OQ,Communication Services,Meta Platforms Inc,62.35,9.02,3876968.00,624.95,623.50,632.68,540.03,511.41,482.79,390.14,601.27,61.67,38566.00,1.03,6.54,0.78,15.69,36.98,-5.80,28.72,657.24,606.75,535.39
MNST.OQ,Consumer Staples,Monster Beverage Corp,1.05,-1.57,3694341.00,49.31,49.21,60.85,54.80,52.93,51.06,45.01,35.77,13.57,4333.00,-0.10,-4.85,0.45,13.14,23.52,82.14,17.43,55.30,51.14,51.66
MRVL.OQ,Information Technology,Marvell Technology Inc,26.63,9.77,3332878.00,125.21,125.21,125.21,98.83,90.68,82.53,56.15,261.04,135.36,5320.00,7.94,11.89,0.80,-6.96,-10.33,-19.75,60.56,126.09,116.51,80.12
MSFT.OQ,Information Technology,Microsoft Corp,4.26,-2.11,9131394.00,444.19,446.20,467.56,437.68,428.45,419.21,389.33,108.26,15.70,38565.00,4.67,2.20,0.48,15.67,35.60,15.09,21.60,503.31,427.46,425.32
MSTR.OQ,Information Technology,Microstrategy Inc,155.74,-17.89,3543042.00,378.56,377.31,473.83,311.57,261.45,211.32,49.06,2661.55,746.90,4455.20,4.63,3.60,0.84,-0.60,-17.63,-9.23,103.45,424.96,344.96,207.11
MU.OQ,Information Technology,Micron Technology Inc,-10.38,-3.50,5350112.00,109.29,109.23,153.45,125.20,116.48,107.75,79.50,123.47,37.99,7916.00,5.85,21.21,0.19,61.59,8.66,-21.81,75.06,128.45,95.84,109.71
NFLX.OQ,Communication Services,Netflix Inc,163.24,1.53,3200849.00,969.07,953.99,953.99,799.91,752.32,704.72,550.64,473.41,77.63,53708.00,12.46,4.94,0.87,15.65,38.43,73.72,36.45,1037.23,882.93,718.16
NVDA.OQ,Information Technology,NVIDIA Corp,18.65,-1.07,54527028.00,146.66,147.07,149.43,115.85,105.48,95.11,61.53,1209.97,145.34,5994.50,7.95,9.18,0.66,125.85,127.21,6.22,42.55,171.50,138.60,121.02
NXPI.OQ,Information Technology,NXP Semiconductors NV,-24.78,-6.87,920575.00,216.61,216.09,290.78,258.47,248.50,238.52,206.21,56.48,6.78,20236.00,1.18,2.78,-0.68,0.54,30.31,6.87,24.35,261.56,211.47,243.12
ODFL.OQ,Industrials,Old Dominion Freight Line Inc,6.59,-18.80,513575.00,189.25,188.79,231.84,207.66,200.19,192.71,168.53,62.68,14.08,16549.00,1.03,4.09,0.14,-6.29,30.24,8.68,23.37,198.61,182.21,194.42
ON.OQ,Information Technology,ON Semiconductor Corp,-4.62,-4.62,3109478.00,56.02,56.03,82.96,71.71,68.24,64.76,53.51,19.62,5.32,5320.00,1.45,-14.46,-0.52,-0.88,21.85,-0.28,43.96,78.89,60.54,69.78
ORLY.OQ,Consumer Discretionary,O'Reilly Automotive Inc,102.46,-17.59,151067.00,1241.30,1241.33,1270.60,1150.66,1113.61,1076.55,956.61,116.80,30.96,94787.50,3.10,1.82,0.77,9.73,NULL,-4.16,15.33,1318.60,1207.29,1122.41
PANW.OQ,Information Technology,Palo Alto Networks Inc,19.87,-9.66,1830094.00,186.99,187.70,202.95,175.46,166.97,158.48,130.99,179.75,44.33,13004.50,7.76,0.49,0.57,16.46,67.66,19.06,33.62,205.35,180.43,170.23
PAYX.OQ,Industrials,Paychex Inc,11.27,-1.27,656858.00,145.09,144.78,148.73,136.29,132.45,128.61,116.17,37.97,25.94,11496.00,0.35,3.75,0.67,5.42,46.16,0.25,19.82,138.47,141.36,131.36
PCAR.OQ,Industrials,Paccar Inc,5.72,-4.32,1049849.00,109.90,109.84,124.46,111.92,108.05,104.18,91.64,108.35,21.98,9005.00,0.19,4.29,0.76,21.89,27.14,-2.24,20.70,116.98,107.04,105.64
PDD.OQ,Consumer Discretionary,PDD Holdings Inc,-19.84,-4.29,2039525.00,102.91,103.08,157.57,131.44,123.37,115.30,89.17,303.76,17.12,8801.00,2.36,3.59,-0.14,89.68,49.15,-4.84,46.66,150.96,99.19,123.32
PEP.OQ,Consumer Staples,PepsiCo Inc,-12.28,-6.99,1936101.00,148.33,148.09,183.11,167.65,162.88,158.10,142.64,3.82,4.65,14151.00,2.29,-3.08,-0.75,5.88,48.91,-7.14,17.72,175.98,148.62,167.88
PLTR.OQ,Information Technology,Palantir Technologies Inc,30.19,4.28,14804920.00,75.98,76.87,82.38,57.06,49.24,41.41,16.09,1181.17,379.24,1604.00,12.81,-4.57,0.87,16.75,12.40,-38.06,59.42,47.11,74.21,39.73
PYPL.OQ,Financials,PayPal Holdings Inc,14.55,0.27,1908938.00,89.84,89.85,91.81,78.18,73.97,69.76,56.13,78.31,61.09,5577.50,0.23,3.12,0.85,8.19,22.19,17.76,34.07,95.04,87.59,72.76
QCOM.OQ,Information Technology,Qualcomm Inc,-15.51,-0.57,2499210.00,170.37,170.24,227.09,194.25,184.10,173.95,141.11,65.25,22.23,13928.00,3.55,11.35,-0.57,8.77,42.25,-1.52,25.92,202.90,159.35,175.42
REGN.OQ,Health Care,Regeneron Pharmaceuticals Inc,-216.10,-33.71,353636.00,682.89,680.03,1201.76,1002.46,940.90,879.33,680.03,24.01,1.62,66922.00,-3.33,-3.11,-0.89,7.76,17.17,16.46,30.21,1014.97,706.98,956.79
ROP.OQ,Information Technology,Roper Technologies Inc,-3.56,-22.02,172723.00,534.06,534.45,576.55,548.34,539.63,530.92,502.71,48.61,7.00,49947.00,3.18,1.72,-0.32,15.00,8.24,4.75,13.69,608.30,518.42,544.00
ROST.OQ,Consumer Discretionary,Ross Stores Inc,5.00,1.39,1196162.00,149.33,149.79,156.61,145.56,142.15,138.73,127.68,113.28,17.45,12753.00,0.52,0.43,0.09,8.99,42.93,4.56,17.15,168.30,151.19,144.80
SBUX.OQ,Consumer Discretionary,Starbucks Corp,7.74,-3.54,2346980.00,97.86,97.73,102.50,91.04,87.50,83.96,72.50,39.81,36.57,7156.00,5.00,11.09,0.07,0.56,NULL,-10.33,23.32,102.49,92.59,88.38
SNPS.OQ,Information Technology,Synopsys Inc,-15.52,-22.66,337042.00,542.91,544.70,621.30,561.20,542.64,524.07,463.97,108.83,18.98,45779.00,7.40,10.67,0.31,15.22,19.05,1.64,27.07,632.87,500.27,538.44
TEAM.OQ,Information Technology,Atlassian Corp,61.47,-6.01,471129.00,260.27,260.85,287.50,230.17,212.46,194.74,137.41,124.21,92.40,13558.00,4.33,1.40,0.87,23.31,-43.52,-20.85,37.72,288.90,249.97,194.51
TMUS.OQ,Communication Services,T-Mobile US Inc,31.28,-11.04,1305611.00,218.62,218.18,246.94,213.65,203.37,193.08,159.79,114.70,37.32,15889.00,1.86,-0.97,0.68,-1.27,16.09,-13.04,26.12,247.45,217.87,197.63
TSLA.OQ,Consumer Discretionary,Tesla Inc,133.16,28.46,10877071.00,418.72,415.11,479.86,350.82,310.96,271.09,142.05,284.01,199.03,13882.00,-3.06,-1.41,0.80,18.80,20.65,-13.39,67.03,313.01,415.66,254.04
TTD.OQ,Communication Services,Trade Desk Inc,20.46,-5.24,1329655.00,121.55,120.69,139.51,111.89,103.36,94.83,67.21,202.56,81.22,6660.00,0.84,-3.46,0.84,23.34,12.89,-2.97,34.65,137.36,121.29,106.07
TTWO.OQ,Communication Services,Take-Two Interactive Software Inc,23.96,-0.69,489912.00,187.29,187.99,190.46,169.53,163.07,156.60,135.67,100.91,38.96,13528.00,3.68,3.31,0.79,-0.01,-50.91,-4.21,23.70,199.37,184.04,160.77
TXN.OQ,Information Technology,Texas Instruments Inc,0.44,-4.70,1872053.00,197.13,197.05,220.29,196.06,188.57,181.08,156.85,40.25,26.75,15546.00,-0.23,5.45,-0.57,-12.53,29.15,1.09,23.51,206.49,191.28,195.54
VRSK.OQ,Industrials,Verisk Analytics Inc,16.03,-5.94,222609.00,279.78,279.35,294.75,265.42,256.36,247.29,217.96,76.55,28.53,21734.00,2.02,0.90,0.60,7.38,271.98,-1.44,19.20,289.81,276.17,266.08
VRTX.OQ,Health Care,Vertex Pharmaceuticals Inc,-12.80,-33.62,482397.00,428.17,428.00,516.74,469.40,454.78,440.15,392.81,93.30,13.11,37838.00,0.88,7.74,-0.48,10.51,-2.99,-6.73,41.71,494.42,411.08,457.51
WBD.OQ,Communication Services,Warner Bros Discovery Inc,1.82,-0.08,10334445.00,10.00,10.05,12.49,10.28,9.60,8.92,6.71,49.78,51.24,664.50,2.66,-5.99,0.79,22.19,-28.09,-8.37,56.49,12.30,10.22,8.48
WDAY.OQ,Information Technology,Workday Inc,18.03,-6.01,689115.00,254.02,253.48,307.21,268.96,257.15,245.33,207.08,91.12,26.75,19999.00,1.98,-7.16,0.37,16.78,21.25,-59.33,28.42,296.52,256.06,244.04
XEL.OQ,Utilities,Xcel Energy Inc,7.50,-1.82,1188050.00,67.08,66.98,72.92,63.57,60.68,57.79,48.44,38.27,43.15,4679.00,3.14,-0.62,0.72,-7.21,10.26,-4.19,21.18,72.57,66.45,60.78
ZS.OQ,Information Technology,Zscaler Inc,11.90,-10.05,387498.00,192.86,192.93,254.93,217.10,205.42,193.73,155.90,121.76,25.69,15350.00,1.55,2.96,0.53,34.07,-3.24,-9.60,37.72,229.41,186.74,184.89
AAPL.OQ,Information Technology,Apple Inc,21.75,3.17,18887619.00,222.95,223.83,259.02,223.10,212.01,200.92,165.00,79.04,36.42,16408.00,-5.90,-12.05,0.13,2.02,174.62,20.22,23.44,243.94,242.47,217.56
AMGN.OQ,Health Care,Amgen Inc,-27.50,-11.41,1357803.00,273.60,273.44,337.38,307.28,297.99,288.69,258.59,27.61,7.95,25330.00,1.67,3.82,-0.44,7.09,55.72,-4.94,17.83,318.58,265.06,303.97
AMZN.OQ,Consumer Discretionary,Amazon.com Inc,25.43,5.82,15703319.00,234.40,235.01,235.01,204.52,195.11,185.69,155.20,187.23,55.01,15161.00,5.22,4.49,0.48,11.83,22.56,11.64,26.93,246.72,223.88,192.64
AXP.N,Financials,American Express Co,39.41,4.42,903825.00,321.58,322.25,322.25,275.83,261.50,247.16,200.74,138.86,73.50,18574.00,3.18,7.90,0.64,24.41,34.23,2.47,25.76,304.86,303.78,259.95
BA.N,Industrials,Boeing Co,-6.07,11.04,938032.00,174.92,174.80,211.92,183.74,175.03,166.32,138.14,50.87,27.53,13707.00,5.17,-1.44,-0.34,16.79,NULL,-9.59,24.42,184.18,173.60,168.62
CAT.N,Industrials,Caterpillar Inc,21.51,-12.60,546321.00,397.66,397.61,416.88,372.35,358.60,344.84,300.31,144.77,37.88,28838.00,6.06,8.62,0.65,12.84,53.54,-2.45,24.27,388.73,369.55,360.64
CRM.N,Information Technology,Salesforce Inc,52.92,-5.79,1544216.00,332.11,332.62,367.87,310.62,292.94,275.26,218.01,159.31,56.90,21200.00,3.57,-3.21,0.67,11.18,10.18,5.42,22.47,398.83,330.64,283.51
CSCO.OQ,Information Technology,Cisco Systems Inc,7.25,0.55,6255963.00,61.52,61.63,61.63,55.18,53.19,51.19,44.74,56.94,38.03,4465.00,2.75,5.31,0.66,-5.61,20.76,-2.12,12.45,62.74,59.49,51.69
CVX.N,Energy,Chevron Corp,0.86,-4.18,1822007.00,156.77,156.41,166.33,155.46,152.11,148.75,137.88,31.15,15.53,13538.00,-1.21,9.49,0.77,-16.46,10.38,-24.39,21.35,176.25,150.32,153.65
DIS.N,Communication Services,Walt Disney Co,9.71,-1.34,1901330.00,108.83,108.81,122.82,108.60,104.21,99.82,85.60,37.18,29.66,8392.00,0.58,-2.87,0.67,2.77,4.97,0.75,13.00,125.52,110.02,101.66
