Stock,Sector,WeeklyChange,MonthlyChange,Correlation,YoYGwt,FCFperShare,RevGrowth,%ROE
Bank of New York Mellon Corp,Energy,-0.65,1.26,0.9431,22.07,10.41,8.40,9.13
Booking Holdings Inc,Consumer Goods,0.95,4.49,0.9268,6.52,191.60,25.01,NULL
Baker Hughes Co,Entertainment,-0.23,-3.74,0.7641,50.54,1.81,20.56,14.25
Builders FirstSource Inc,Transportation,-2.80,-6.23,0.5793,-32.14,14.19,-24.77,27.44
BlackRock Inc,Technology,2.92,1.08,0.9343,2.30,25.36,5.15,15.22
Bristol-Myers Squibb Co,Automative,-2.95,-5.30,0.8795,-36.17,6.09,-2.50,-31.46
Broadridge Financial Solutions Inc,Healthcare,1.14,4.15,0.7629,-11.39,7.92,7.36,31.81
Berkshire Hathaway Inc,Energy,-1.48,-1.28,0.7509,307.08,"20,558.64",20.68,18.52
Brown & Brown Inc,Consumer Goods,-6.33,-6.92,0.8236,32.03,3.35,19.13,17.81
Boston Scientific Corp,Entertainment,-0.31,2.35,0.9291,-7.90,1.16,12.29,9.06
Borgwarner Inc,Transportation,0.83,1.24,0.5890,191.54,2.41,12.37,15.41
Blackstone Inc,Technology,3.73,5.05,0.9025,39.57,5.07,-5.31,31.46
BXP Inc,Automative,0.28,-2.40,0.7521,174.15,1.78,5.26,6.29
Citigroup Inc,Healthcare,0.64,3.09,0.7878,-7.27,-60.11,2.06,3.50
Conagra Brands Inc,Energy,1.50,-0.04,-0.6247,45.86,3.39,-1.84,5.62
Cardinal Health Inc,Consumer Goods,-6.24,-3.47,0.8566,"3,623.47",13.16,10.66,NULL
Carrier Global Corp,Entertainment,-2.23,-3.39,0.6551,95.12,2.51,8.21,13.42
Caterpillar Inc,Transportation,-2.66,-1.93,0.8898,-7.12,19.07,12.84,53.54
Chubb Ltd,Technology,-2.94,-1.60,0.4837,15.07,30.50,15.72,16.93
Cboe Global Markets Inc,Automative,-4.47,1.27,0.4278,5.97,9.70,12.75,19.41
CBRE Group Inc,Healthcare,-0.07,1.37,0.9076,19.58,0.56,3.64,11.70
Crown Castle Inc,Energy,-4.13,-4.73,-0.5085,13.81,3.92,-0.07,20.53
Carnival Corp,Consumer Goods,-0.63,8.17,0.9077,59.95,0.79,77.46,20.12
Cadence Design Systems Inc,Entertainment,-4.86,2.62,0.7498,-6.90,4.57,14.83,27.07
CDW Corp,Transportation,-0.02,-9.89,-0.6220,1.03,10.64,-9.99,53.36
Celanese Corp,Technology,-4.03,-13.45,-0.7080,-87.81,12.17,13.10,15.97
Constellation Energy Corp,Automative,-6.92,-0.28,0.7358,68.86,-23.84,1.96,23.60
CF Industries Holdings Inc,Healthcare,-1.84,5.57,0.8575,81.77,11.65,-40.72,21.32
Citizens Financial Group Inc,Energy,-0.79,-0.54,0.7503,-9.93,-1.24,2.30,5.33
Church & Dwight Co Inc,Consumer Goods,-3.92,-1.98,0.6735,-143.02,3.26,9.16,13.34
CH Robinson Worldwide Inc,Entertainment,1.40,0.09,0.7350,17.25,5.41,-28.75,22.82
Charter Communications Inc,Transportation,-5.88,-4.43,0.4003,6.89,21.83,1.08,37.11
Cigna Group,Technology,-10.93,-14.29,-0.4069,-44.60,34.49,8.17,6.92
Cincinnati Financial Corp,Automative,-2.96,0.34,0.8635,924.08,12.87,52.57,25.14
Colgate-Palmolive Co,Healthcare,-2.16,0.87,-0.6468,4.70,3.67,8.29,"1,346.48"
Clorox Co,Energy,-1.71,-0.24,0.7429,349.91,3.87,-4.01,"3,104.35"
Comcast Corp,Consumer Goods,-6.67,-10.16,0.7349,-4.27,3.12,0.12,17.43
CME Group Inc,Entertainment,-3.58,3.70,0.8924,21.54,9.39,50.38,12.14
Chipotle Mexican Grill Inc,Transportation,2.63,10.63,0.8650,24.53,0.88,14.33,45.67
Cummins Inc,Technology,-2.16,3.27,0.9255,27.63,19.29,21.34,20.00
CMS Energy Corp,Automative,-1.01,-2.59,0.4858,40.65,-0.34,-13.19,13.43
Centene Corp,Healthcare,-4.80,-6.34,-0.7685,57.17,13.29,6.54,11.66
CenterPoint Energy Inc,Energy,-2.76,4.49,0.8203,-26.35,-0.83,-6.71,9.57
Capital One Financial Corp,Consumer Goods,0.30,-2.19,0.8595,-0.87,90.73,7.71,7.60
Cooper Companies Inc,Entertainment,-5.43,-4.12,0.4164,38.01,1.44,8.41,5.02
ConocoPhillips,Transportation,-1.28,-8.80,-0.0846,-24.12,7.23,-28.48,20.31
Cencora Inc,Technology,-6.62,-6.91,0.2449,-99.01,14.97,12.12,258.42
Costco Wholesale Corp,Automative,0.38,6.63,0.8634,8.83,14.90,5.02,30.27
Corpay Inc,Healthcare,-1.62,-2.18,0.9207,7.12,26.18,9.65,32.98
Campbell's Co,Energy,0.73,-3.93,-0.6361,-7.46,2.23,2.98,14.51
Copart Inc,Consumer Goods,-0.57,10.33,0.7789,8.35,0.99,9.49,19.47
Camden Property Trust,Entertainment,-1.38,-1.22,0.3476,-108.77,3.51,8.38,7.17
Charles River Laboratories International Inc,Transportation,-2.91,-12.30,-0.4425,-21.37,7.10,3.86,11.66
Salesforce Inc,Technology,-3.54,3.84,0.9044,26.82,9.65,11.18,10.18
CrowdStrike Holdings Inc,Automative,-0.33,6.00,0.9502,-162.64,3.81,36.33,4.98
Cisco Systems Inc,Healthcare,-1.73,-0.07,0.9485,-24.11,2.51,-5.61,20.76
CoStar Group Inc,Energy,-2.72,2.25,0.2262,-41.60,0.85,12.49,2.39
CSX Corp,Consumer Goods,-4.79,-7.97,0.5191,11.25,1.62,-1.32,29.47
Cintas Corp,Entertainment,-5.65,-5.86,0.9164,18.52,4.04,8.86,40.31
Catalent Inc,Transportation,2.26,6.36,0.4389,83.10,-0.33,2.77,-11.19
Coterra Energy Inc,Technology,-1.09,-0.24,0.4005,-20.58,2.05,-40.26,9.58
Cognizant Technology Solutions Corp,Automative,0.83,-0.31,0.7618,12.87,3.99,-0.39,16.48
Corteva Inc,Healthcare,-2.27,2.15,0.8104,-66.69,1.71,-1.31,2.68
CVS Health Corp,Energy,-10.84,-7.26,-0.0757,-96.06,8.06,10.95,6.72
Chevron Corp,Consumer Goods,-1.33,-0.19,0.5926,-28.58,10.52,-16.46,10.38
Caesars Entertainment Inc,Entertainment,-3.92,-7.73,0.4290,-112.22,2.38,6.53,-8.22
Dominion Energy Inc,Transportation,-3.71,-6.67,0.5018,39.99,-4.35,3.26,8.69
Delta Air Lines Inc,Technology,-1.21,-0.13,0.9036,14.27,1.77,14.76,40.67
Dayforce Inc,Automative,-3.00,-1.72,0.8839,151.29,0.66,21.47,2.19
Dupont De Nemours Inc,Healthcare,-0.71,-2.03,0.5127,81.68,3.48,-7.29,2.10
Deere & Co,Energy,-1.80,11.27,0.8461,-44.93,15.98,-15.52,31.82
Deckers Outdoor Corp,Consumer Goods,0.39,15.74,0.8380,-76.75,6.04,18.21,43.57
Dell Technologies Inc,Entertainment,-5.88,-14.31,0.8093,16.13,8.04,-13.56,NULL
Discover Financial Services,Transportation,1.01,-1.74,0.8450,42.86,32.52,19.31,20.43
Dollar General Corp,Technology,0.40,4.63,-0.7311,-28.92,3.14,2.24,19.37
Quest Diagnostics Inc,Automative,-2.84,-2.80,0.6936,1.79,7.65,-6.38,12.66
DR Horton Inc,Healthcare,-4.75,-8.23,-0.4111,-11.95,6.11,3.78,19.81
Danaher Corp,Energy,-0.36,-3.23,-0.7234,-11.01,6.87,-10.33,7.59
Walt Disney Co,Consumer Goods,-2.03,13.63,0.8060,75.58,4.67,2.77,4.97
Digital Realty Trust Inc,Entertainment,-1.90,2.39,0.8682,-96.04,-6.12,16.74,2.11
Dollar Tree Inc,Transportation,-2.98,17.02,-0.6963,12.09,2.63,8.02,-12.55
Healthpeak Properties Inc,Technology,-0.14,-4.83,0.1414,4.57,0.38,5.81,4.11
Dover Corp,Automative,-1.02,-1.65,0.9131,21.86,8.13,-0.82,29.11
Dow Inc,Healthcare,-3.15,-10.31,-0.6911,-29.28,3.95,-21.58,5.55
Domino's Pizza Inc,Energy,-2.04,2.35,0.5548,0.39,13.71,-1.27,NULL
Darden Restaurants Inc,Consumer Goods,-1.98,-0.84,0.8334,9.07,8.22,8.60,48.62
DTE Energy Co,Entertainment,-1.05,1.06,0.1820,42.98,-3.47,-33.72,13.61
Duke Energy Corp,Transportation,-3.26,-2.55,0.2049,-11.07,-3.54,1.02,9.09
DaVita Inc,Technology,-4.82,0.66,0.6949,-4.59,16.05,4.57,104.38
Devon Energy Corp,Automative,-4.22,-10.78,-0.7776,-8.48,4.05,-23.64,26.27
Dexcom Inc,Healthcare,-0.67,14.45,0.0309,16.03,1.20,24.49,32.06
Electronic Arts Inc,Energy,-2.09,2.84,0.6494,-24.65,7.78,1.83,13.96
eBay Inc,Consumer Goods,-0.24,1.19,0.6944,-47.72,3.71,3.24,35.85
Ecolab Inc,Entertainment,-1.37,-2.04,0.4838,82.87,5.71,7.98,25.02
Consolidated Edison Inc,Transportation,-4.01,-5.82,-0.2040,11.47,-6.69,-6.43,8.58
Equifax Inc,Technology,-0.32,-3.05,-0.5188,-13.79,4.16,2.79,12.23
Everest Group Ltd,Automative,-4.34,-1.91,0.0259,-24.51,110.27,16.51,20.62
Edison International,Healthcare,-3.27,-2.39,0.3358,228.63,-5.32,-5.12,9.54
Estee Lauder Companies Inc,Energy,2.43,25.75,-0.6417,-604.50,3.99,-2.06,3.89
Elevance Health Inc,Consumer Goods,-3.64,-9.36,-0.7973,-20.03,28.50,9.42,15.62
Eastman Chemical Co,Entertainment,-2.56,-2.97,0.4378,2.15,4.57,-12.95,16.08
Emerson Electric Co,Transportation,-2.58,1.29,0.7191,-19.72,5.68,15.34,7.65
